amount,mean,min,max,std_deviation
100000,1854.90625,1854.90625,1854.90625,0.0
200000,1869.9296875,1869.9296875,1869.9296875,0.0
300000,1923.83203125,1923.83203125,1923.83203125,0.0
400000,1981.825,1981.3515625,1983.71875,0.9468749999999999
500000,2041.7890625,2041.7890625,2041.7890625,0.0
600000,2043.421875,2043.421875,2043.421875,0.0
700000,2102.6015625,2102.6015625,2102.6015625,0.0
800000,2159.9140625,2159.9140625,2159.9140625,0.0
900000,2276.078125,2276.078125,2276.078125,0.0
1000000,2273.8296875,2273.7734375,2273.8359375,0.01875
