amount,mean,min,max,std_deviation
100000,8.480191548215226,3.439042942598462,24.6738087721169,6.935441512034707
200000,17.15996730234474,6.8226264151744545,50.307934037875384,14.702480134940545
300000,15.619746276410297,8.133167776279151,50.278677211143076,11.684399773063658
400000,38.21559517509304,13.530263109598309,92.56437047990039,29.264625824504396
500000,29.728578434465454,16.919923580717295,118.00220405170694,29.481953175239493
600000,73.97830574973486,24.380563098937273,148.2227634517476,47.9137326795474
700000,76.54766755169257,28.681042841169983,207.05181153910235,72.35433327628301
800000,78.81984776738099,27.067529001273215,233.8243560018018,74.15138572612555
900000,70.89827949004248,36.61417071800679,226.56936815660447,62.58937910164123
1000000,283.82048940695825,40.48604772705585,2293.1990891844034,670.813913288102
